city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,6
sj,2008,20,5
sj,2008,21,9
sj,2008,22,6
sj,2008,23,8
sj,2008,24,10
sj,2008,25,14
sj,2008,26,24
sj,2008,27,20
sj,2008,28,18
sj,2008,29,22
sj,2008,30,30
sj,2008,31,35
sj,2008,32,45
sj,2008,33,50
sj,2008,34,45
sj,2008,35,71
sj,2008,36,96
sj,2008,37,88
sj,2008,38,58
sj,2008,39,41
sj,2008,40,30
sj,2008,41,40
sj,2008,42,37
sj,2008,43,27
sj,2008,44,24
sj,2008,45,44
sj,2008,46,33
sj,2008,47,29
sj,2008,48,30
sj,2008,49,20
sj,2008,50,14
sj,2008,51,12
sj,2008,52,12
sj,2009,1,25
sj,2009,2,17
sj,2009,3,15
sj,2009,4,13
sj,2009,5,13
sj,2009,6,12
sj,2009,7,12
sj,2009,8,13
sj,2009,9,12
sj,2009,10,7
sj,2009,11,5
sj,2009,12,5
sj,2009,13,4
sj,2009,14,4
sj,2009,15,5
sj,2009,16,4
sj,2009,17,5
sj,2009,18,6
sj,2009,19,6
sj,2009,20,6
sj,2009,21,4
sj,2009,22,8
sj,2009,23,7
sj,2009,24,9
sj,2009,25,17
sj,2009,26,15
sj,2009,27,27
sj,2009,28,43
sj,2009,29,38
sj,2009,30,51
sj,2009,31,55
sj,2009,32,50
sj,2009,33,61
sj,2009,34,74
sj,2009,35,84
sj,2009,36,82
sj,2009,37,52
sj,2009,38,86
sj,2009,39,46
sj,2009,40,65
sj,2009,41,92
sj,2009,42,83
sj,2009,43,64
sj,2009,44,38
sj,2009,45,25
sj,2009,46,31
sj,2009,47,36
sj,2009,48,42
sj,2009,49,29
sj,2009,50,21
sj,2009,51,25
sj,2009,52,23
sj,2010,53,16
sj,2010,1,16
sj,2010,2,16
sj,2010,3,14
sj,2010,4,15
sj,2010,5,12
sj,2010,6,22
sj,2010,7,14
sj,2010,8,11
sj,2010,9,12
sj,2010,10,9
sj,2010,11,5
sj,2010,12,10
sj,2010,13,9
sj,2010,14,5
sj,2010,15,6
sj,2010,16,7
sj,2010,17,12
sj,2010,18,16
sj,2010,19,8
sj,2010,20,13
sj,2010,21,18
sj,2010,22,22
sj,2010,23,29
sj,2010,24,33
sj,2010,25,22
sj,2010,26,26
sj,2010,27,44
sj,2010,28,50
sj,2010,29,25
sj,2010,30,28
sj,2010,31,50
sj,2010,32,87
sj,2010,33,69
sj,2010,34,78
sj,2010,35,110
sj,2010,36,94
sj,2010,37,99
sj,2010,38,72
sj,2010,39,80
sj,2010,40,63
sj,2010,41,92
sj,2010,42,76
sj,2010,43,61
sj,2010,44,32
sj,2010,45,45
sj,2010,46,29
sj,2010,47,25
sj,2010,48,24
sj,2010,49,16
sj,2010,50,22
sj,2010,51,16
sj,2011,52,14
sj,2011,1,15
sj,2011,2,14
sj,2011,3,15
sj,2011,4,16
sj,2011,5,13
sj,2011,6,12
sj,2011,7,12
sj,2011,8,10
sj,2011,9,9
sj,2011,10,6
sj,2011,11,6
sj,2011,12,5
sj,2011,13,6
sj,2011,14,7
sj,2011,15,5
sj,2011,16,4
sj,2011,17,5
sj,2011,18,8
sj,2011,19,5
sj,2011,20,4
sj,2011,21,9
sj,2011,22,14
sj,2011,23,14
sj,2011,24,22
sj,2011,25,45
sj,2011,26,71
sj,2011,27,23
sj,2011,28,18
sj,2011,29,24
sj,2011,30,31
sj,2011,31,28
sj,2011,32,52
sj,2011,33,56
sj,2011,34,54
sj,2011,35,59
sj,2011,36,65
sj,2011,37,67
sj,2011,38,42
sj,2011,39,35
sj,2011,40,62
sj,2011,41,60
sj,2011,42,31
sj,2011,43,28
sj,2011,44,43
sj,2011,45,33
sj,2011,46,32
sj,2011,47,33
sj,2011,48,37
sj,2011,49,29
sj,2011,50,36
sj,2011,51,14
sj,2012,52,17
sj,2012,1,17
sj,2012,2,17
sj,2012,3,15
sj,2012,4,12
sj,2012,5,11
sj,2012,6,12
sj,2012,7,9
sj,2012,8,12
sj,2012,9,10
sj,2012,10,7
sj,2012,11,5
sj,2012,12,6
sj,2012,13,6
sj,2012,14,4
sj,2012,15,5
sj,2012,16,4
sj,2012,17,4
sj,2012,18,7
sj,2012,19,8
sj,2012,20,12
sj,2012,21,7
sj,2012,22,8
sj,2012,23,20
sj,2012,24,23
sj,2012,25,31
sj,2012,26,31
sj,2012,27,27
sj,2012,28,21
sj,2012,29,27
sj,2012,30,26
sj,2012,31,43
sj,2012,32,29
sj,2012,33,53
sj,2012,34,50
sj,2012,35,38
sj,2012,36,64
sj,2012,37,61
sj,2012,38,61
sj,2012,39,75
sj,2012,40,70
sj,2012,41,40
sj,2012,42,50
sj,2012,43,53
sj,2012,44,75
sj,2012,45,53
sj,2012,46,38
sj,2012,47,41
sj,2012,48,28
sj,2012,49,24
sj,2012,50,19
sj,2012,51,15
sj,2013,1,11
sj,2013,2,14
sj,2013,3,10
sj,2013,4,11
sj,2013,5,14
sj,2013,6,11
sj,2013,7,11
sj,2013,8,10
sj,2013,9,9
sj,2013,10,7
sj,2013,11,5
sj,2013,12,6
sj,2013,13,7
sj,2013,14,3
sj,2013,15,7
sj,2013,16,7
sj,2013,17,4
iq,2010,26,5
iq,2010,27,3
iq,2010,28,5
iq,2010,29,3
iq,2010,30,4
iq,2010,31,4
iq,2010,32,4
